,Model Name,userid,K,ndcg@k,Relative_mrr@k,fcp@k,MAE@k,MSE@k,RMSE@k,R2squared
0,ItemKNN,470.92192513368985,7.905454545454545,0.7239011484885357,0.3880165505657718,0.6774043898482898,0.7650644767046253,0.9252579473885472,0.9113313190902327,0.0031397822177397215
1,Random,470.92192513368985,7.905454545454545,0.7207686258056218,0.3935737960676884,0.6734799018302603,1.0090661313916256,1.7534377950195639,1.2304651562255364,-1.430425992305966
2,SVD,470.92192513368985,7.905454545454545,0.7238043673428788,0.39994957965825273,0.6772105768438942,0.7722348045698045,0.9905452218190287,0.9326127095820278,-0.07473385290623032
3,SVD++,470.92192513368985,7.905454545454545,0.7241868471812996,0.39996394267006746,0.6775313788489067,0.7708757603629457,1.001274198605624,0.9354502297032381,-0.0661532133273945
4,UserKNN,470.92192513368985,7.905454545454545,0.723913852629319,0.40388668918605625,0.6774412556312857,0.8437585050911609,1.1493430780543639,1.0047698466680184,-0.41322275281128373
