,Model Name,K,userid,ndcg@k,Relative_mrr@k,fcp@k,MAE@k,MSE@k,RMSE@k,R2squared
0,ItemKNN,3,470.66421343146277,0.6668071138004362,0.5776346723908821,0.6519472554431156,0.7645718606434296,0.9099858891759429,0.8744239714651164,-0.00995332465672878
1,ItemKNN,4,434.8712871287129,0.7754559257066067,0.4610148514851484,0.6320132013201321,0.7815687721966549,0.9621050971927283,0.9242491276244962,-0.08171659245324756
2,ItemKNN,5,474.3808574277169,0.7028060269518371,0.43497175141242933,0.6757726819541375,0.7569528109769836,0.9110370468950558,0.8976295211400469,0.007653042812087766
3,ItemKNN,6,544.8301886792453,0.8358160896110124,0.3632075471698113,0.7056603773584906,0.7878841715200067,0.9772392015653454,0.9401448926055477,-0.02595468248860827
4,ItemKNN,7,522.4615384615385,0.7697799384925277,0.3395081109366823,0.6227106227106227,0.7632333670164992,0.9253488823427047,0.9209754651057295,-0.02257298001701012
5,ItemKNN,8,487.60526315789474,0.8094330435147779,0.3264176065162907,0.6729323308270676,0.8308341553061469,1.045377538990942,0.9859724025392452,-0.014871630454700127
6,ItemKNN,9,499.2,0.8146224685044289,0.3021230158730158,0.6909722222222222,0.7954486346783801,1.00046476437867,0.9668958169269949,-0.00974956074988746
7,ItemKNN,10,455.976,0.7120395904611515,0.2847456507936508,0.6954311111111111,0.74329106074061,0.8765612567261211,0.902974490572416,0.03045457964876788
8,ItemKNN,11,440.7741935483871,0.8000507063746697,0.2543902578360056,0.6844574780058651,0.7158821578993511,0.8259371728986874,0.8834648119351809,0.006076916532844081
9,ItemKNN,12,416.10714285714283,0.8079382322127867,0.25147907647907647,0.6883116883116883,0.773702024592869,0.9413640087064769,0.9422313508802865,0.010622397491744607
10,ItemKNN,13,426.8636363636364,0.8097344657885759,0.22708126178405896,0.7057109557109557,0.8323018061333092,1.1050515958794689,1.016710865742365,0.009897557307445131
11,ItemKNN,14,555.3181818181819,0.8364369286614782,0.22542118775885012,0.7152847152847153,0.7937291354848692,0.9899794947335102,0.973479964758522,0.0316119549476975
12,ItemKNN,15,468.68119266055044,0.7204291045278045,0.21521356871127514,0.7133464394932285,0.7578470476971728,0.9201982141082211,0.9308243643759423,0.04493425583595024
13,ItemKNN,16,569.0833333333334,0.8008761518454651,0.17922400949744702,0.7576388888888889,0.7963492572068754,1.0023811129185207,0.9704920784093422,0.05069771287210347
14,ItemKNN,17,518.4444444444445,0.8303819198594249,0.1987430613728192,0.7034313725490197,0.7451247650155349,0.8585441013658918,0.9153772652971788,0.058980901687270264
